returncode	checker	bc_file	stdout_file	stderr_file	elapsed_seconds
0	leak	workspace/tmux-bc/objects/alerts.bc	-	-	0.114
0	dfree	workspace/tmux-bc/objects/alerts.bc	-	-	0.032
0	fileck	workspace/tmux-bc/objects/alerts.bc	-	-	0.032
0	null-deref	workspace/tmux-bc/objects/alerts.bc	-	-	0.032
0	leak	workspace/tmux-bc/objects/arguments.bc	-	outputs/saber/tmux/workspace__tmux-bc__objects__arguments.leak.stderr.txt	8.233
0	dfree	workspace/tmux-bc/objects/arguments.bc	-	outputs/saber/tmux/workspace__tmux-bc__objects__arguments.dfree.stderr.txt	8.435
0	fileck	workspace/tmux-bc/objects/arguments.bc	-	-	0.115
0	null-deref	workspace/tmux-bc/objects/arguments.bc	-	outputs/saber/tmux/workspace__tmux-bc__objects__arguments.null-deref.stderr.txt	8.337
0	leak	workspace/tmux-bc/objects/attributes.bc	-	-	0.032
0	dfree	workspace/tmux-bc/objects/attributes.bc	-	-	0.016
0	fileck	workspace/tmux-bc/objects/attributes.bc	-	-	0.016
0	null-deref	workspace/tmux-bc/objects/attributes.bc	-	-	0.016
0	leak	workspace/tmux-bc/objects/cfg.bc	-	outputs/saber/tmux/workspace__tmux-bc__objects__cfg.leak.stderr.txt	0.032
0	dfree	workspace/tmux-bc/objects/cfg.bc	-	-	0.032
0	fileck	workspace/tmux-bc/objects/cfg.bc	-	outputs/saber/tmux/workspace__tmux-bc__objects__cfg.fileck.stderr.txt	0.032
0	null-deref	workspace/tmux-bc/objects/cfg.bc	-	outputs/saber/tmux/workspace__tmux-bc__objects__cfg.null-deref.stderr.txt	0.032
0	leak	workspace/tmux-bc/objects/client.bc	-	outputs/saber/tmux/workspace__tmux-bc__objects__client.leak.stderr.txt	0.064
0	dfree	workspace/tmux-bc/objects/client.bc	-	-	0.064
0	fileck	workspace/tmux-bc/objects/client.bc	-	-	0.064
0	null-deref	workspace/tmux-bc/objects/client.bc	-	outputs/saber/tmux/workspace__tmux-bc__objects__client.null-deref.stderr.txt	0.064
0	leak	workspace/tmux-bc/objects/cmd-attach-session.bc	-	-	0.032
0	dfree	workspace/tmux-bc/objects/cmd-attach-session.bc	-	-	0.032
0	fileck	workspace/tmux-bc/objects/cmd-attach-session.bc	-	-	0.032
